season,성별,value
2008 1/4,남자,73.9
2008 1/4,여자,52.5
2008 2/4,남자,75.2
2008 2/4,여자,54.1
2008 3/4,남자,74.8
2008 3/4,여자,53.4
2008 4/4,남자,74.3
2008 4/4,여자,53.3
2009 1/4,남자,72.7
2009 1/4,여자,51.4
2009 2/4,남자,74.2
2009 2/4,여자,52.7
2009 3/4,남자,73.8
2009 3/4,여자,52.6
2009 4/4,남자,74
2009 4/4,여자,52.4
2010 1/4,남자,72.8
2010 1/4,여자,51.3
2010 2/4,남자,74.5
2010 2/4,여자,53.5
2010 3/4,남자,74.4
2010 3/4,여자,53.1
2010 4/4,남자,74.4
2010 4/4,여자,52.9
2011 1/4,남자,73.5
2011 1/4,여자,51.7
2011 2/4,남자,75
2011 2/4,여자,54
2011 3/4,남자,74.8
2011 3/4,여자,53.4
2011 4/4,남자,75.1
2011 4/4,여자,53.4
2012 1/4,남자,74.1
2012 1/4,여자,52.4
2012 2/4,남자,75.5
2012 2/4,여자,54.3
2012 3/4,남자,75.4
2012 3/4,여자,53.9
2012 4/4,남자,75.1
2012 4/4,여자,53.6
2013 1/4,남자,73.9
2013 1/4,여자,52.4
2013 2/4,남자,75.5
2013 2/4,여자,54.4
2013 3/4,남자,75.5
2013 3/4,여자,54.6
2013 4/4,남자,75.8
2013 4/4,여자,54.5
2014 1/4,남자,75.3
2014 1/4,여자,53.9
2014 2/4,남자,76.2
2014 2/4,여자,55.3
2014 3/4,남자,76.4
2014 3/4,여자,55.5
2014 4/4,남자,76.2
2014 4/4,여자,55.3
2015 1/4,남자,75.3
2015 1/4,여자,54.6
2015 2/4,남자,76.2
2015 2/4,여자,55.8
2015 3/4,남자,76.2
2015 3/4,여자,56.2
2015 4/4,남자,76.1
2015 4/4,여자,56.3
2016 1/4,남자,75
2016 1/4,여자,55.2
2016 2/4,남자,76
2016 2/4,여자,56.3
2016 3/4,남자,76.3
2016 3/4,여자,56.6
2016 4/4,남자,76.3
2016 4/4,여자,56.5
2017 1/4,남자,75.5
2017 1/4,여자,55.9
2017 2/4,남자,76.6
2017 2/4,여자,57
2017 3/4,남자,76.6
2017 3/4,여자,57.2
2017 4/4,남자,76.4
2017 4/4,여자,57.2
