year,engineer,manufacturer,officer,outsource
1990,7967,34701,4062,7360
1991,6756,33518,5301,7582
1992,7095,32450,5499,7778
1993,7336,31637,7198,10549
1994,9040,36979,9211,15371
1995,11775,39236,7333,18986
1996,12679,40478,7419,20777
1997,11726,40370,6481,19222
1998,12077,38088,6219,19321
1999,10425,36320,6234,18665
2e3,10420,36215,7181,25960
2001,10245,36434,7586,32417
2002,11037,36068,6820,40288
2003,11331,36232,7182,38937
2004,11578,36314,7388,42040
2005,12081,35750,7042,49831
2006,14431,36524,7027,55862
