월(Monthly),구분,시군구,호
2010-01-01,경남,거제시,206
2010-02-01,경남,거제시,193
2010-03-01,경남,거제시,192
2010-04-01,경남,거제시,180
2010-05-01,경남,거제시,171
2010-06-01,경남,거제시,136
2010-07-01,경남,거제시,127
2010-08-01,경남,거제시,127
2010-09-01,경남,거제시,97
2010-10-01,경남,거제시,79
2010-11-01,경남,거제시,156
2010-12-01,경남,거제시,140
2011-01-01,경남,거제시,132
2011-02-01,경남,거제시,71
2011-03-01,경남,거제시,50
2011-04-01,경남,거제시,50
2011-05-01,경남,거제시,44
2011-06-01,경남,거제시,41
2011-07-01,경남,거제시,41
2011-08-01,경남,거제시,41
2011-09-01,경남,거제시,41
2011-10-01,경남,거제시,41
2011-11-01,경남,거제시,41
2011-12-01,경남,거제시,41
2012-01-01,경남,거제시,40
2012-02-01,경남,거제시,40
2012-03-01,경남,거제시,40
2012-04-01,경남,거제시,40
2012-05-01,경남,거제시,40
2012-06-01,경남,거제시,40
2012-07-01,경남,거제시,40
2012-08-01,경남,거제시,40
2012-09-01,경남,거제시,40
2012-10-01,경남,거제시,40
2012-11-01,경남,거제시,40
2012-12-01,경남,거제시,40
2013-01-01,경남,거제시,40
2013-02-01,경남,거제시,40
2013-03-01,경남,거제시,0
2013-04-01,경남,거제시,0
2013-05-01,경남,거제시,0
2013-06-01,경남,거제시,0
2013-07-01,경남,거제시,0
2013-08-01,경남,거제시,0
2013-09-01,경남,거제시,0
2013-10-01,경남,거제시,0
2013-11-01,경남,거제시,0
2013-12-01,경남,거제시,0
2014-01-01,경남,거제시,0
2014-02-01,경남,거제시,0
2014-03-01,경남,거제시,0
2014-04-01,경남,거제시,0
2014-05-01,경남,거제시,0
2014-06-01,경남,거제시,0
2014-07-01,경남,거제시,0
2014-08-01,경남,거제시,0
2014-09-01,경남,거제시,0
2014-10-01,경남,거제시,0
2014-11-01,경남,거제시,3
2014-12-01,경남,거제시,0
2015-01-01,경남,거제시,0
2015-02-01,경남,거제시,3
2015-03-01,경남,거제시,0
2015-04-01,경남,거제시,0
2015-05-01,경남,거제시,0
2015-06-01,경남,거제시,0
2015-07-01,경남,거제시,0
2015-08-01,경남,거제시,0
2015-09-01,경남,거제시,0
2015-10-01,경남,거제시,0
2015-11-01,경남,거제시,0
2015-12-01,경남,거제시,0
2016-01-01,경남,거제시,4
2016-02-01,경남,거제시,2
2016-03-01,경남,거제시,2
2016-04-01,경남,거제시,2
2016-05-01,경남,거제시,2
2016-06-01,경남,거제시,5
2016-07-01,경남,거제시,5
2016-08-01,경남,거제시,5
2016-09-01,경남,거제시,5
2016-10-01,경남,거제시,98
2016-11-01,경남,거제시,98
2016-12-01,경남,거제시,98
2017-01-01,경남,거제시,96
2017-02-01,경남,거제시,73
2017-03-01,경남,거제시,73
2017-04-01,경남,거제시,108
2017-05-01,경남,거제시,351
2017-06-01,경남,거제시,350
2017-07-01,경남,거제시,350
2017-08-01,경남,거제시,346
2017-09-01,경남,거제시,732
2017-10-01,경남,거제시,720
2017-11-01,경남,거제시,712
2017-12-01,경남,거제시,776
2018-01-01,경남,거제시,889
