year,계,남,여
가나,4,3,1
계,14178,10545,3633
그리스,55,42,13
나이지리아,72,35,37
남아프리카공화국,51,32,19
네덜란드,68,47,21
네팔,953,929,24
노르웨이,704,568,136
뉴질랜드,43,35,8
덴마크,67,54,13
도미니카공화국,2,1,1
독일,30,22,8
라오스,6,NA,6
라트비아,2,2,NA
러시아,80,40,40
레바논,5,2,3
루마니아,53,30,23
리투아니아,2,2,NA
마다가스카르,1,NA,1
말레이시아,220,152,48
멕시코,2,1,1
모로코,5,2,3
모리셔스,1,NA,1
몬테네그로,1,1,NA
몽골,64,49,15
미국,308,232,76
미얀마,484,477,7
방글라데시,8,7,1
베네수엘라,16,9,7
베트남,1228,681,547
벨기에,10,7,3
벨로루시,1,1,NA
보스니아-헤르체코비나,1,1,NA
불가리아,11,4,7
브라질,19,13,6
브루나이,8,6,2
세르비아,5,4,1
스리랑카,641,633,8
스웨덴,31,22,9
스위스,2,1,1
스페인,9,4,5
슬로바크,2,2,NA
슬로베니아,1,1,NA
시리아,1,1,NA
싱가포르,80,49,31
아랍에미리트연합,1,1,NA
아르헨티나,6,4,2
아이슬란드,7,5,2
아일랜드,32,25,7
아제르바이잔,6,1,5
아프가니스탄,1,1,NA
알제리,9,4,5
앙골라,4,1,3
에코,8,6,2
엘살바도르,1,NA,1
영국,669,569,100
예멘공화국,5,4,1
오스트레일리아,846,664,182
오스트리아,1,1,NA
우즈베키스탄,1342,1263,79
우크라이나,30,15,15
이라크,1,1,NA
이란,22,13,9
이탈리아,51,42,9
인도,716,434,282
인도네시아,897,846,51
일본,149,70,79
중국,631,263,368
짐바브웨,1,1,NA
칠레,2,1,1
카자흐스탄,25,17,8
카타르,1,NA,1
캄보디아,184,139,45
캐나다,74,50,24
케냐,2,NA,2
코트디부아르,4,2,2
콜롬비아,7,4,3
크로아티아,17,14,3
키르기스스탄,27,20,7
타이,445,377,68
타이완,21,9,12
탄자니아,1,NA,1
터키,12,12,NA
튀니지,9,4,5
티모르민주공화국,70,70,NA
파나마,1,NA,1
파키스탄,45,31,14
페루,1,1,NA
포르투갈,18,13,5
폴란드,34,22,12
프랑스,855,570,285
핀란드,7,6,1
필리핀,621,215,406
한국계중국인,916,526,390
헝가리,1,1,NA
홍콩,5,3,2
